Node_ID          x          y          z
    378   6.116925   3.094935   4.603405
    379   7.290105   0.456956   4.255558
    380   5.384620   0.390807   7.789991
    381   4.316931   1.894958   5.338531
    382   3.952524   6.162112   3.748432
    383   5.150633   2.433209   4.993889
    384   4.953465   3.944395   1.782180
    385   2.805114   3.904609   4.327830
    386   5.777999   5.260200   4.412886
    387   1.815221   2.314597   6.305072
    388   6.081392   2.358604   1.740891
    389   5.916324   0.788803   1.441745
    390   3.485544   6.533590   1.847081
    391   2.156999   4.688787   5.826327
    392   2.695555   2.901733   0.547286
    393   1.120638   6.137589   6.300494
    394   3.385934   2.240607   6.508187
    395   4.990493   0.410350   5.371456
    396   0.294762   2.259720   1.221910
    397   1.926167   3.858461   1.553689
    398   2.207189   1.104286   3.338922
    399   3.693731   5.506996  -0.138061
    400   0.426934   1.072502   5.860366
    401   4.975957   5.100520   5.026646
    402   4.511681   1.199868   0.851418
    403   0.871821   4.503343   1.390750
    404   4.607150   6.387597   5.592346
    405   4.404077   3.201041   4.072267
    406   6.894970   1.497264   3.611710
    407   5.279666   3.923830   3.636409
    408   5.213164   5.410792   1.143884
    409   6.030474   0.555506   3.341587
    410   0.351157   0.300512   2.435885
    411   6.453008   5.188452   1.104924
    412   3.350189   1.991094   6.229032
    413   3.491934   2.387996   3.286855
    414   2.903938   1.914019   2.521070
    415   5.902870   1.766662   0.339238
    416   0.558581   5.035075   3.400017
    417   5.068900   6.459360   0.992943
    418   6.604286   4.894059   4.769469
    419   5.258734   7.187563   3.879122
    420   1.849720   4.309669   6.522679
    421   1.883437   1.054217   5.116377
    422   2.659015   5.759197   1.113193
    423   3.228173   6.293908   5.456734
    424   1.733905   0.245457   5.579713
    425   5.755936   4.131920   0.855408
    426   4.327974   3.123016   0.808242
    427   1.674741   1.197151   6.760501
    428   0.006969   6.953108   6.367803
    429   3.080320   5.282283   4.154481
    430   2.596885   2.946952   3.896640
    431   1.193057   1.439321   1.724260
    432   5.513606   1.426328   6.661212
    433   3.369272   3.982890   1.985773
    434   4.536636   1.566411   6.229643
    435   1.111504   7.140748   4.952678
    436   4.706684   0.908865   5.348044
    437   1.090666   5.826048   2.253765
    438   5.768378   3.871578   5.714923
    439   0.585976   6.508472   5.564927
    440   1.006238   1.377763   4.340708
    441   3.514673   3.974954   4.691892
    442   3.220188   1.680814   1.754764
    443   5.222097   2.378176   1.122327
    444   3.891391   4.655055   6.449681
    445   6.304161   5.993458   1.769663
    446   0.980371   5.890995   0.703233
    447   6.709493   5.728973   6.303750
    448   1.762353   3.778418   3.896384
    449   3.469186   4.854783   5.231526
    450   1.329934   4.917770   4.918258
    451   6.563611   0.523432   1.705902
    452   2.854031   0.657409   0.757063
    453   5.628423   1.542000   5.398551
    454   1.601511   5.494480   7.436589
    455   4.141026   2.893222   4.504734
    456   6.630346   5.253763   6.147744
    457   2.502873   2.297505   5.403051
    458   0.722537   5.435897   5.515609
    459   4.270322   3.830561   2.938107
    460   1.952858   5.144496  -0.021299
    461   7.424663   4.257934   5.630466
    462   3.266100   5.706849   4.392493
    463   1.209059   3.181176   0.332015
    464   1.667460   0.727774   2.700840
    465   2.319042   6.494248   7.261326
    466   0.511674   3.589153   0.566906
    467   2.433913   1.363267   1.147567
    468  -0.243855   1.862031   5.566269
    469   5.014686   6.637084   1.710575
    470   6.550077   2.241961   4.056796
    471   3.041126  -0.119858   6.308244
    472   5.108477   2.525203   4.378893
    473   1.592692   3.583103   5.248649
    474   1.924616   1.832608   2.486974
    475   2.736837   6.498866   1.825655
    476   2.380909   4.050323   4.690377
    477   5.427412   3.356851   2.603922
    478   3.103064   5.696885   3.212404
    479   3.301216   0.637307   3.318246
    480   6.906127   0.593693   6.663513
    481   2.975226   1.284589   6.543738
    482   1.387351   3.877836   6.168311
    483   5.428764  -0.177564   2.176786
    484   7.778404   3.327747   1.574670
    485   6.999085   3.346859   7.340729
    486   5.391928   3.683877   6.034471
    487   7.103437   6.792269   3.366163
    488  -0.189731   1.061858   0.891228
    489   5.348579   4.897271   1.790908
    490   6.867381   4.856651   4.090320
    491   4.031977   5.568404   6.322962
    492   6.367898   4.069091   3.716253
    493   6.211335   0.116491   1.473202
    494   4.978104   0.816806   2.844343
    495   0.717534   1.107349   1.763480
    496   4.252505   6.989007   6.538774
    497   6.214190  -0.236648   6.134111
    498   1.603989   6.476841   3.429822
    499   1.592350   4.601157   1.598589
    500   5.654769   5.528482   4.149935
    501   3.359489   4.129850   0.525224
    502   6.023544   6.953617   5.082173
    503   6.327951   1.835838   2.992822
    504   2.384081   5.664693   5.184755
    505   3.576325   3.654109   4.632429
    506   0.323779   1.619103   2.092914
    507   2.921830   5.004618   1.750001
    508   5.971812   0.176115  -0.009452
    509   2.927081   3.159030   1.751168
    510   4.084526   1.661664   0.190179
    511   7.429248   5.607984   4.565247
    512   0.471611   3.479572   6.572458
