Bond_ID         l0         kb
    246   0.834504   1.094677
    247   0.534503   1.367808
    248   0.769075   1.140291
    249   2.128757   0.685389
    250   0.421100   1.541017
    251   0.742155   1.160787
    252   0.653817   1.236722
    253   0.479183   1.444606
    254   0.692470   1.201709
    255   0.642553   1.247514
    256   0.342084   1.709754
    257   1.396556   0.846196
    258   0.767828   1.141216
    259   1.796378   0.746107
    260   0.840299   1.090896
    261   0.483876   1.437584
    262   0.445124   1.498855
    263   0.550920   1.347273
    264   0.525929   1.378912
    265   0.609550   1.280842
    266   0.856498   1.080530
    267   0.782399   1.130539
    268   1.250514   0.894243
    269   0.623291   1.266644
    270   0.632680   1.257210
    271   0.829889   1.097716
    272   1.070682   0.966428
    273   0.746486   1.157415
    274   0.578034   1.315296
    275   0.527261   1.377169
    276   0.553265   1.344416
    277   0.567721   1.327188
    278   0.604466   1.286216
    279   0.580520   1.312476
    280   0.913433   1.046313
    281   1.053562   0.974249
    282   0.534527   1.367777
    283   1.665092   0.774963
    284   0.668053   1.223473
    285   0.505708   1.406210
    286   1.086825   0.959224
    287   0.424569   1.534709
    288   0.988172   1.005967
    289   0.521615   1.384601
    290   0.596466   1.294813
    291   0.860183   1.078213
    292   0.935558   1.033867
    293   1.005658   0.997183
    294   0.606819   1.283720
    295   0.861696   1.077266
    296   1.456587   0.828575
    297   0.769742   1.139797
    298   0.722654   1.176345
    299   0.451687   1.487926
    300   0.967020   1.016910
    301   1.199616   0.913017
    302   0.557233   1.339620
    303   0.389772   1.601749
    304   0.821668   1.103194
    305   0.331800   1.736049
    306   0.532905   1.369857
    307   1.813638   0.742548
    308   0.559451   1.336962
    309   0.855562   1.081121
    310   0.421630   1.540048
    311   0.520903   1.385548
    312   0.586277   1.306016
    313   0.372491   1.638485
    314   0.598993   1.292079
    315   0.583420   1.309210
    316   0.675202   1.216979
    317   1.973376   0.711861
    318   0.567825   1.327067
    319   0.607018   1.283509
    320   0.564825   1.330586
    321   0.370345   1.643224
    322   0.492695   1.424658
    323   0.746622   1.157309
    324   1.004974   0.997522
    325   2.382736   0.647831
    326   0.360613   1.665248
    327   0.671134   1.220662
    328   0.770566   1.139187
    329   1.115393   0.946861
    330   1.021398   0.989470
    331   2.187821   0.676074
    332   0.937320   1.032895
    333   0.585761   1.306591
    334   0.888082   1.061142
    335   0.822842   1.102407
    336   0.544101   1.355689
    337   0.459260   1.475607
    338   0.545476   1.353980
    339   0.734429   1.166877
    340   0.474379   1.451901
    341   0.791810   1.123801
    342   0.765422   1.143009
    343   0.605416   1.285207
    344   0.705999   1.190140
    345   0.795842   1.120951
    346   1.123593   0.943399
    347   0.376640   1.629433
    348   0.908670   1.049052
    349   2.066487   0.695639
    350   0.482753   1.439255
    351   0.512562   1.396777
    352   0.996977   1.001515
    353   0.452305   1.486908
    354   1.848488   0.735515
    355   0.580645   1.312335
    356   0.727503   1.172419
    357   0.907621   1.049658
    358   0.487785   1.431811
    359   0.593764   1.297756
    360   0.470625   1.457681
    361   0.468422   1.461104
    362   0.886764   1.061930
    363   1.466846   0.825672
    364   0.554232   1.343241
    365   1.430333   0.836145
    366   0.751952   1.153201
    367   0.694768   1.199720
    368   0.659648   1.231243
    369   0.676464   1.215843
    370   0.957198   1.022114
    371   1.133137   0.939418
    372   0.718832   1.179468
    373   0.522483   1.383452
    374   0.750967   1.153957
    375   0.730255   1.170207
    376   1.154698   0.930606
    377   2.502156   0.632183
    378   0.331383   1.737140
    379   0.678390   1.214117
    380   0.516211   1.391830
    381   0.770912   1.138931
    382   0.747998   1.156245
    383   0.701743   1.193743
    384   0.283152   1.879275
    385   0.592677   1.298946
    386   0.713772   1.183642
    387   3.319016   0.548903
    388   0.647706   1.242542
    389   0.645878   1.244299
    390   0.788875   1.125890
    391   0.618387   1.271657
    392   1.069289   0.967058
