Time Step,Label Index,Name (NA),Volume (µm³),Equivalent Spherical Diameter (µm),Aspect Ratio,Center Of Mass X (µm),Center Of Mass Y (µm),Center Of Mass Z (µm),Sphericity
0,657,,435338454.6,940.3210024,1.075350815,20401.26567,20703.65206,11811.56603,0.94589222
0,658,,437724796,942.0360199,1.091289013,16785.96313,14340.94661,12273.54426,0.952128005
0,659,,753774323.1,1129.139427,3.575220309,14484.02358,16499.63823,2714.813219,0.331546685
0,660,,439627115.3,943.3987205,1.127570455,15154.03033,14021.63869,11340.32369,0.928626501
0,661,,444968242.6,947.203872,1.115240837,17236.20226,17172.59762,4147.4449,0.89914319
0,662,,433430507.2,938.9452831,1.041333363,21677.78012,17136.81447,12761.61691,0.952337386
0,663,,439722794.1,943.4671548,1.020067528,16378.58705,19453.47565,12105.67012,0.948472616
0,664,,434522370.9,939.7330608,1.076493342,21696.29425,18020.83135,13051.69463,0.954581528
0,665,,442975872.6,945.7880375,1.038310317,20002.95503,19805.36371,7361.295043,0.92496474
0,666,,439565205.5,943.3544342,1.053505121,17029.19922,14462.16899,6377.146196,0.932069443
0,667,,443381100.4,946.0763472,1.046744318,17192.56023,18475.75382,9380.061783,0.922074334
0,668,,437505297.6,941.8785313,1.136763143,20821.09368,20263.13615,11100.73568,0.937518257
0,669,,445232766.2,947.391532,1.075338227,18609.6765,19492.37662,7770.760347,0.922963632
0,670,,437482785,941.8623757,1.123128206,13417.23793,19232.35376,9448.405849,0.933499098
0,671,,442891450.2,945.7279508,1.024203899,17616.47228,20888.54908,7605.972139,0.936590917
0,672,,441366217.9,944.6410676,1.106009589,15746.8402,14639.43176,10870.21415,0.936609099
0,673,,439824101,943.5396038,1.13143556,19026.47272,20481.9232,3505.946313,0.918451244
0,674,,441242398.3,944.5527237,1.091104851,20403.7989,19672.40492,11660.16802,0.940513622
0,675,,436475343.7,941.1388422,1.049478126,19572.91303,15241.52662,4904.670472,0.908953497
0,676,,438298868.7,942.4476643,1.046995072,18562.55261,14356.97362,12807.30554,0.952654765
0,677,,444996383.4,947.2238394,1.018870168,19317.86351,19432.88398,4956.016156,0.910880005
0,678,,437195748.6,941.6563425,1.063653756,13654.88115,15540.48298,11876.96833,0.943891405
0,679,,437443387.8,941.834102,1.05552046,13619.60197,15583.20674,13042.0308,0.954713912
0,680,,441585716.2,944.7976366,1.050472695,13730.94013,16735.63372,9500.57915,0.945017074
0,681,,445142715.6,947.3276561,1.191553432,20783.11916,18239.83147,8838.762588,0.937545426
0,682,,437837359.3,942.1167629,1.081386353,21213.52532,19416.9422,11171.78014,0.944705375
0,683,,442379287.3,945.3632613,1.093198735,16224.93444,14687.75178,3888.346184,0.911368551
0,684,,441006015.4,944.3840213,1.087621005,20646.41004,19402.77161,8576.54746,0.94741208
0,685,,440195559.8,943.805155,1.044971494,18759.2907,14587.28529,11163.42478,0.946996486
0,686,,438884197.7,942.8670103,1.148005012,20791.96621,17847.26025,5990.867398,0.931459047
0,687,,443251652.7,945.9842674,1.085796302,14216.87611,17515.5644,3232.034406,0.885146536
0,688,,438811031.6,942.8146124,1.112497005,20984.52617,15356.00535,8881.597496,0.927810188
0,689,,442694464.5,945.5877189,1.181558641,15369.8754,13946.52983,9587.536004,0.933978665
0,690,,440465711.7,943.9981893,1.153098912,21673.54344,17152.18748,14599.32872,0.967098844
0,691,,438692840.1,942.7299575,1.039226918,20814.7559,20250.02258,14013.335,0.958120221
0,692,,438017460.5,942.2459228,1.063668114,17761.31783,21877.19296,12203.53565,0.956832616
